,n_neighbours,min_dist,n_components,random_state,reconstruction_error,duration
0,5.0,0.05,2.0,42.0,0.056904349845110856,866.7629265785217
1,5.0,0.1,2.0,42.0,0.06280587792462095,857.0725541114807
2,5.0,0.15,2.0,42.0,0.061534500964810876,871.8038260936737
3,5.0,0.2,2.0,42.0,0.0651648624973987,852.675742149353
4,14.0,0.05,2.0,42.0,0.05177705329028735,850.3549008369446
5,14.0,0.1,2.0,42.0,0.05141906187822336,851.5693426132202
6,14.0,0.15,2.0,42.0,0.053807116166235465,857.698371887207
7,14.0,0.2,2.0,42.0,0.05492947656256514,855.8996224403381
8,15.0,0.05,2.0,42.0,0.04966555372984958,855.6622276306152
9,15.0,0.1,2.0,42.0,0.05099894588676225,856.0939064025879
10,15.0,0.15,2.0,42.0,0.05250750075359253,854.3554890155792
11,15.0,0.2,2.0,42.0,0.056871954560468556,858.0133867263794
12,16.0,0.05,2.0,42.0,0.04997694683905397,856.2646589279175
13,16.0,0.1,2.0,42.0,0.05369570909248745,857.0726733207703
14,16.0,0.15,2.0,42.0,0.057432741042857796,856.1383895874023
15,16.0,0.2,2.0,42.0,0.05508178031884201,856.0036511421204
