,n_neighbours,min_dist,n_components,random_state,reconstruction_error,duration
0,5.0,0.1,2.0,42.0,0.06280587792462095,1785.849746465683
1,5.0,0.5,2.0,42.0,0.09401023122397577,857.5231382846832
2,5.0,1.0,2.0,42.0,0.1293839300801336,856.3938567638397
3,15.0,0.1,2.0,42.0,0.05099894588676225,877.6179251670837
4,15.0,0.5,2.0,42.0,0.07614498127879327,867.7497437000275
5,15.0,1.0,2.0,42.0,0.10372454031323293,872.1804020404816
6,30.0,0.1,2.0,42.0,0.05193902816114677,886.6960043907166
7,30.0,0.5,2.0,42.0,0.07119275997870823,896.1639070510864
8,30.0,1.0,2.0,42.0,0.09372044241167941,5880.288929224014
9,60.0,0.1,2.0,42.0,0.05535115320000914,956.8003222942352
10,60.0,0.5,2.0,42.0,0.07460271209337603,955.4969716072083
11,60.0,1.0,2.0,42.0,0.09465049200323317,956.1080803871155
12,120.0,0.1,2.0,42.0,0.055397195374253125,1038.1612820625305
13,120.0,0.5,2.0,42.0,0.07517660831733451,1036.9535026550293
14,120.0,1.0,2.0,42.0,0.09364199905111487,1037.7254865169525
